ID,Movie,Year,Time,Rating,Metascore,Profit,Description
648,American Gangster,2007,157,7.8,76,130160000,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
46,American History X,1998,119,8.5,62,6720000,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
964,American Psycho,2000,102,7.6,64,15070000,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
261,Amores perros,2000,154,8.1,83,5380000,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
488,Amour,2012,127,7.9,94,6740000,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
303,Anand,1971,122,8.1,73,0,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
447,Anatomy of a Murder,1959,161,8,95,11900000,"An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?"
403,Andaz Apna Apna,1994,160,8,72,1100000,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.
141,Andhadhun,2018,139,8.2,75,1370000,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
437,Andrei Rublev,1966,205,8,75,100000,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
421,Annie Hall,1977,93,8,92,39200000,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
779,Another Round,2020,117,7.7,79,21700000,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
53,Apocalypse Now,1979,147,8.5,94,83470000,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
651,Apocalypto,2006,139,7.8,68,50870000,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
843,Apollo 13,1995,140,7.7,77,173840000,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
